שם הקובץ,נתיב הקובץ,תיקיית המקור,מספר שורות
‏‏ראש יוסף על ביצה.txt,אוצריא/תלמוד בבלי/אחרונים/ראש יוסף/‏‏ראש יוסף על ביצה.txt,Dicta,865
ראש יוסף על חולין.txt,אוצריא/תלמוד בבלי/אחרונים/ראש יוסף/ראש יוסף על חולין.txt,Dicta,2372
ראש יוסף על ברכות.txt,אוצריא/תלמוד בבלי/אחרונים/ראש יוסף/ראש יוסף על ברכות.txt,Dicta,926
גליוני השס על עדיות.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/נזיקין/גליוני השס על עדיות.txt,Dicta,16
גליוני השס על בבא בתרא.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/נזיקין/גליוני השס על בבא בתרא.txt,Dicta,380
גליוני השס על הוריות.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/נזיקין/גליוני השס על הוריות.txt,Dicta,43
גליוני השס על אבות.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/נזיקין/גליוני השס על אבות.txt,Dicta,67
גליוני השס על מכות.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/נזיקין/גליוני השס על מכות.txt,Dicta,112
גליוני השס על בבא קמא.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/נזיקין/גליוני השס על בבא קמא.txt,Dicta,442
גליוני השס על עבודה זרה.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/נזיקין/גליוני השס על עבודה זרה.txt,Dicta,219
גליוני השס על שבועות.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/נזיקין/גליוני השס על שבועות.txt,Dicta,166
גליוני השס על בבא מציעא.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/נזיקין/גליוני השס על בבא מציעא.txt,Dicta,489
גליוני השס על סנהדרין.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/נזיקין/גליוני השס על סנהדרין.txt,Dicta,541
גליוני השס על יבמות.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/נשים/גליוני השס על יבמות.txt,Dicta,796
גליוני השס על גיטין.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/נשים/גליוני השס על גיטין.txt,Dicta,506
גליוני השס על נזיר.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/נשים/גליוני השס על נזיר.txt,Dicta,126
גליוני השס על קידושין.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/נשים/גליוני השס על קידושין.txt,Dicta,577
גליוני השס על כתובות.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/נשים/גליוני השס על כתובות.txt,Dicta,646
גליוני השס על נדרים.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/נשים/גליוני השס על נדרים.txt,Dicta,296
גליוני השס על סוטה.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/נשים/גליוני השס על סוטה.txt,Dicta,199
גליוני השס על ביצה.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/מועד/גליוני השס על ביצה.txt,Dicta,177
גליוני השס על מועד קטן.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/מועד/גליוני השס על מועד קטן.txt,Dicta,138
גליוני השס על תענית.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/מועד/גליוני השס על תענית.txt,Dicta,154
גליוני השס על יומא.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/מועד/גליוני השס על יומא.txt,Dicta,416
גליוני השס על מגילה.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/מועד/גליוני השס על מגילה.txt,Dicta,179
גליוני השס על עירובין.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/מועד/גליוני השס על עירובין.txt,Dicta,387
גליוני השס על סוכה.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/מועד/גליוני השס על סוכה.txt,Dicta,353
גליוני השס על פסחים.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/מועד/גליוני השס על פסחים.txt,Dicta,606
גליוני השס על ראש השנה.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/מועד/גליוני השס על ראש השנה.txt,Dicta,257
גליוני השס על שבת.txt,אוצריא/תלמוד בבלי/אחרונים/ר' יוסף ענגיל/גליוני השס/מועד/גליוני השס על שבת.txt,Dicta,1058
שפת אמת על ברכות.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת על השס/סדר זרעים/שפת אמת על ברכות.txt,Dicta,52
שפת אמת על מנחות.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת על השס/סדר קדשים/שפת אמת על מנחות.txt,Dicta,1013
שפת אמת על תמורה.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת על השס/סדר קדשים/שפת אמת על תמורה.txt,Dicta,244
שפת אמת על מעילה.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת על השס/סדר קדשים/שפת אמת על מעילה.txt,Dicta,110
שפת אמת על כריתות.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת על השס/סדר קדשים/שפת אמת על כריתות.txt,Dicta,190
שפת אמת על זבחים.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת על השס/סדר קדשים/שפת אמת על זבחים.txt,Dicta,932
שפת אמת על בכורות.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת על השס/סדר קדשים/שפת אמת על בכורות.txt,Dicta,177
