ref,line_index
"Lessons in Leadership; Hebrew Edition, Beshallah; Four Models of Leadership 1",330
"Lessons in Leadership; Hebrew Edition, Beshallah; Four Models of Leadership 2",331
"Lessons in Leadership; Hebrew Edition, Beshallah; Four Models of Leadership 3",332
"Lessons in Leadership; Hebrew Edition, Beshallah; Four Models of Leadership 4",333
"Lessons in Leadership; Hebrew Edition, Beshallah; Four Models of Leadership 5",334
"Lessons in Leadership; Hebrew Edition, Beshallah; Four Models of Leadership 6",335
"Lessons in Leadership; Hebrew Edition, Beshallah; Four Models of Leadership 7",336
"Lessons in Leadership; Hebrew Edition, Beshallah; Four Models of Leadership 8",337
"Lessons in Leadership; Hebrew Edition, Beshallah; Four Models of Leadership 9",338
"Lessons in Leadership; Hebrew Edition, Beshallah; Four Models of Leadership 10",339
"Lessons in Leadership; Hebrew Edition, Beshallah; Four Models of Leadership 11",340
"Lessons in Leadership; Hebrew Edition, Beshallah; Four Models of Leadership 12",341
"Lessons in Leadership; Hebrew Edition, Beshallah; Four Models of Leadership 13",342
"Lessons in Leadership; Hebrew Edition, Beshallah; Four Models of Leadership 14",343
"Lessons in Leadership; Hebrew Edition, Beshallah; Four Models of Leadership 15",344
"Lessons in Leadership; Hebrew Edition, Beshallah; Four Models of Leadership 16",345
"Lessons in Leadership; Hebrew Edition, Beshallah; Four Models of Leadership 17",346
"Lessons in Leadership; Hebrew Edition, Beshallah; Four Models of Leadership 18",347
"Lessons in Leadership; Hebrew Edition, Beshallah; Four Models of Leadership 19",348
"Lessons in Leadership; Hebrew Edition, Beshallah; Four Models of Leadership 20",349
"Lessons in Leadership; Hebrew Edition, Beshallah; Four Models of Leadership 21",350
"Lessons in Leadership; Hebrew Edition, Yitro; A Nation of Leaders 1",352
"Lessons in Leadership; Hebrew Edition, Yitro; A Nation of Leaders 2",353
"Lessons in Leadership; Hebrew Edition, Yitro; A Nation of Leaders 3",354
"Lessons in Leadership; Hebrew Edition, Yitro; A Nation of Leaders 4",355
"Lessons in Leadership; Hebrew Edition, Yitro; A Nation of Leaders 5",356
"Lessons in Leadership; Hebrew Edition, Yitro; A Nation of Leaders 6",357
"Lessons in Leadership; Hebrew Edition, Yitro; A Nation of Leaders 7",358
"Lessons in Leadership; Hebrew Edition, Yitro; A Nation of Leaders 8",359
"Lessons in Leadership; Hebrew Edition, Yitro; A Nation of Leaders 9",360
"Lessons in Leadership; Hebrew Edition, Yitro; A Nation of Leaders 10",361
"Lessons in Leadership; Hebrew Edition, Yitro; A Nation of Leaders 11",362
"Lessons in Leadership; Hebrew Edition, Yitro; A Nation of Leaders 12",363
"Lessons in Leadership; Hebrew Edition, Yitro; A Nation of Leaders 13",364
"Lessons in Leadership; Hebrew Edition, Yitro; A Nation of Leaders 14",365
"Lessons in Leadership; Hebrew Edition, Yitro; A Nation of Leaders 15",366
"Lessons in Leadership; Hebrew Edition, Yitro; A Nation of Leaders 16",367
"Lessons in Leadership; Hebrew Edition, Mishpatim; Vision and Detail 1",369
"Lessons in Leadership; Hebrew Edition, Mishpatim; Vision and Detail 2",370
"Lessons in Leadership; Hebrew Edition, Mishpatim; Vision and Detail 3",371
"Lessons in Leadership; Hebrew Edition, Mishpatim; Vision and Detail 4",372
"Lessons in Leadership; Hebrew Edition, Mishpatim; Vision and Detail 5",373
"Lessons in Leadership; Hebrew Edition, Mishpatim; Vision and Detail 6",374
"Lessons in Leadership; Hebrew Edition, Mishpatim; Vision and Detail 7",375
"Lessons in Leadership; Hebrew Edition, Mishpatim; Vision and Detail 8",376
