שם הקובץ,נתיב הקובץ,תיקיית המקור
אבן העוזר על שבועות.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר על השס/אבן העוזר על שבועות.txt,Dicta
אבן העוזר על זבים.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר על השס/אבן העוזר על זבים.txt,Dicta
אבן העוזר על בבא קמא.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר על השס/אבן העוזר על בבא קמא.txt,Dicta
אבן העוזר על שבת.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר על השס/אבן העוזר על שבת.txt,Dicta
אבן העוזר על ביצה.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר על השס/אבן העוזר על ביצה.txt,Dicta
אבן העוזר על פסחים.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר על השס/אבן העוזר על פסחים.txt,Dicta
אבן העוזר על עבודה זרה.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר על השס/אבן העוזר על עבודה זרה.txt,Dicta
אבן העוזר על ראש השנה.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר על השס/אבן העוזר על ראש השנה.txt,Dicta
אבן העוזר על קידושין.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר על השס/אבן העוזר על קידושין.txt,Dicta
אבן העוזר על עירובין.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר על השס/אבן העוזר על עירובין.txt,Dicta
אבן העוזר על מגילה.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר על השס/אבן העוזר על מגילה.txt,Dicta
אבן העוזר על בבא מציעא.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר על השס/אבן העוזר על בבא מציעא.txt,Dicta
אבן העוזר על הוריות.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר על השס/אבן העוזר על הוריות.txt,Dicta
אבן העוזר על ברכות.txt,אוצריא/תלמוד בבלי/אחרונים/אבן העוזר על השס/אבן העוזר על ברכות.txt,Dicta
ים של שלמה על ביצה.txt,אוצריא/תלמוד בבלי/אחרונים/ים של שלמה/סדר מועד/ים של שלמה על ביצה.txt,Dicta
ראש יוסף על ברכות.txt,אוצריא/תלמוד בבלי/אחרונים/ראש יוסף/ראש יוסף על ברכות.txt,Dicta
‏‏ראש יוסף על ביצה.txt,אוצריא/תלמוד בבלי/אחרונים/ראש יוסף/‏‏ראש יוסף על ביצה.txt,Dicta
ראש יוסף על חולין.txt,אוצריא/תלמוד בבלי/אחרונים/ראש יוסף/ראש יוסף על חולין.txt,Dicta
ראש יוסף על פסחים.txt,אוצריא/תלמוד בבלי/אחרונים/ראש יוסף/ראש יוסף על פסחים.txt,Dicta
תוספות רבינו יהודה החסיד על ברכות.txt,אוצריא/תלמוד בבלי/ראשונים/תוספות רבינו יהודה החסיד על ברכות.txt,Dicta
מהרם חלאווה על פסחים.txt,אוצריא/תלמוד בבלי/ראשונים/מהרם חלאווה על פסחים.txt,Dicta
חידושי הראה על כתובות.txt,אוצריא/תלמוד בבלי/ראשונים/ראה/סדר נשים/חידושי הראה על כתובות.txt,Dicta
רי מיגאש על בבא מציעא.txt,אוצריא/תלמוד בבלי/ראשונים/רי מיגאש/רי מיגאש על בבא מציעא.txt,Dicta
רי מיגאש על שבועות.txt,אוצריא/תלמוד בבלי/ראשונים/רי מיגאש/רי מיגאש על שבועות.txt,Dicta
רי מיגאש על בבא בתרא.txt,אוצריא/תלמוד בבלי/ראשונים/רי מיגאש/רי מיגאש על בבא בתרא.txt,Dicta
ריטבא על שבת.txt,אוצריא/תלמוד בבלי/ראשונים/ריטבא/סדר מועד/ריטבא על שבת.txt,Dicta
חידושי הרן על ראש השנה.txt,אוצריא/תלמוד בבלי/ראשונים/רן/סדר מועד/חידושי הרן על ראש השנה.txt,Dicta
חידושי הרן על מגילה.txt,אוצריא/תלמוד בבלי/ראשונים/רן/סדר מועד/חידושי הרן על מגילה.txt,Dicta
חידושי הרן (מיוחס לו) על שבת.txt,אוצריא/תלמוד בבלי/ראשונים/רן/סדר מועד/חידושי הרן (מיוחס לו) על שבת.txt,Dicta
חידושי הרן על עבודה זרה.txt,אוצריא/תלמוד בבלי/ראשונים/רן/סדר נזיקין/חידושי הרן על עבודה זרה.txt,Dicta
מפעלות אלוקים.txt,אוצריא/מחשבת ישראל/ראשונים/מפעלות אלוקים.txt,Dicta
מלמד התלמידים.txt,אוצריא/מחשבת ישראל/ראשונים/מלמד התלמידים.txt,Dicta
האמונה והבטחון מיוחס לרמבן.txt,אוצריא/מחשבת ישראל/ראשונים/האמונה והבטחון מיוחס לרמבן.txt,Dicta
מחנה ישראל.txt,אוצריא/הלכה/אחרונים/מחנה ישראל.txt,Dicta
נאות יעקב חלק ב.txt,אוצריא/הלכה/אחרונים/נאות יעקב חלק ב.txt,Dicta
מחנה אפרים חלק א - ב.txt,אוצריא/הלכה/משנה תורה/מפרשים/מחנה אפרים חלק א - ב.txt,Dicta
דבש תמר - ב (רמבם).txt,אוצריא/הלכה/משנה תורה/מפרשים/דבש תמר - ב (רמבם).txt,Dicta
אב בחכמה.txt,אוצריא/הלכה/מחברי זמננו/אב בחכמה.txt,Dicta
אמרי משה.txt,אוצריא/הלכה/מערכות ועניינים/אמרי משה.txt,Dicta
שערי ישר חלק א - ב.txt,אוצריא/הלכה/מערכות ועניינים/שערי ישר חלק א - ב.txt,Dicta
מקדש דוד חלק א.txt,אוצריא/הלכה/מערכות ועניינים/מקדש דוד חלק א.txt,Dicta
בית אבא.txt,אוצריא/הלכה/מערכות ועניינים/בית אבא.txt,Dicta
תקפו כהן.txt,אוצריא/הלכה/מערכות ועניינים/תקפו כהן.txt,Dicta
אתוון דאורייתא.txt,אוצריא/הלכה/מערכות ועניינים/אתוון דאורייתא.txt,Dicta
ברוך טעם.txt,אוצריא/הלכה/מערכות ועניינים/ברוך טעם.txt,Dicta
מקדש דוד חלק ד.txt,אוצריא/הלכה/מערכות ועניינים/מקדש דוד חלק ד.txt,Dicta
מקדש דוד חלק ג.txt,אוצריא/הלכה/מערכות ועניינים/מקדש דוד חלק ג.txt,Dicta
אפיקי ים חלק א.txt,אוצריא/הלכה/מערכות ועניינים/אפיקי ים חלק א.txt,Dicta
מקדש דוד חלק ב.txt,אוצריא/הלכה/מערכות ועניינים/מקדש דוד חלק ב.txt,Dicta
הרוקח.txt,אוצריא/הלכה/ראשונים/הרוקח.txt,Dicta
ספר העיטור.txt,אוצריא/הלכה/ראשונים/ספר העיטור.txt,Dicta
הלכות ברכות להריטבא.txt,אוצריא/הלכה/ראשונים/הלכות ברכות להריטבא.txt,Dicta
חידושי מהראל על שחיטה וטריפות.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/חידושי מהראל על שחיטה וטריפות.txt,Dicta
ראשון לציון על שולחן ערוך יורה דעה.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/ראשון לציון על שולחן ערוך יורה דעה.txt,Dicta
מטה יהונתן על שולחן ערוך אורח חיים.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/מטה יהונתן על שולחן ערוך אורח חיים.txt,Dicta
סדרי טהרה.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/סדרי טהרה.txt,Dicta
דעת תורה על שולחן ערוך יוד חלק א.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/דעת תורה על שולחן ערוך יוד חלק א.txt,Dicta
אמרי בינה על שולחן ערוך אורח חיים.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/אמרי בינה/אמרי בינה על שולחן ערוך אורח חיים.txt,Dicta
אמרי בינה על שולחן ערוך יורה דעה.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/אמרי בינה/אמרי בינה על שולחן ערוך יורה דעה.txt,Dicta
‏‏משובב נתיבות על שולחן ערוך חושן משפט.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/קצות החושן/‏‏משובב נתיבות על שולחן ערוך חושן משפט.txt,Dicta
בית מאיר על שולחן ערוך יורה דעה.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/בית מאיר/בית מאיר על שולחן ערוך יורה דעה.txt,Dicta
בית מאיר על שולחן ערוך אורח חיים.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/בית מאיר/בית מאיר על שולחן ערוך אורח חיים.txt,Dicta
חידושי הרים על שולחן ערוך חושן משפט חלק ב.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/חידושי הרים/חידושי הרים על שולחן ערוך חושן משפט חלק ב.txt,Dicta
חידושי הרים על שולחן ערוך אבן העזר.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/חידושי הרים/חידושי הרים על שולחן ערוך אבן העזר.txt,Dicta
חידושי הרים על שולחן ערוך חושן משפט.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/חידושי הרים/חידושי הרים על שולחן ערוך חושן משפט.txt,Dicta
אבני נזר על שולחן ערוך חושן משפט.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/אבני נזר/אבני נזר על שולחן ערוך חושן משפט.txt,Dicta
גליוני השס כללים הערות וביאורים על ירושלמי מועד.txt,אוצריא/תלמוד ירושלמי/מפרשים/גליוני השס כללים הערות וביאורים על ירושלמי מועד.txt,Dicta
תורת נתנאל על התורה.txt,אוצריא/תנך/אחרונים/תורת נתנאל על התורה.txt,Dicta
דבש תמר - א (תורה).txt,אוצריא/תנך/אחרונים/דבש תמר - א (תורה).txt,Dicta
דברי יהונתן.txt,אוצריא/תנך/אחרונים/דברי יהונתן.txt,Dicta
ישמח משה על נך.txt,אוצריא/תנך/אחרונים/ישמח משה על נך.txt,Dicta
כלי חמדה על התורה.txt,אוצריא/תנך/אחרונים/כלי חמדה על התורה.txt,Dicta
ליקוטי מהריל על התורה.txt,אוצריא/תנך/אחרונים/ליקוטי מהריל על התורה.txt,Dicta
פנים יפות בראשית.txt,אוצריא/תנך/אחרונים/פנים יפות בראשית.txt,Dicta
תפארת יהונתן על התורה.txt,אוצריא/תנך/אחרונים/תפארת יהונתן על התורה.txt,Dicta
אור המאיר על במדבר.txt,אוצריא/תנך/אחרונים/אור המאיר/אור המאיר על במדבר.txt,Dicta
אור המאיר על שמות.txt,אוצריא/תנך/אחרונים/אור המאיר/אור המאיר על שמות.txt,Dicta
אור המאיר דברים.txt,אוצריא/תנך/אחרונים/אור המאיר/אור המאיר דברים.txt,Dicta
אור המאיר ויקרא.txt,אוצריא/תנך/אחרונים/אור המאיר/אור המאיר ויקרא.txt,Dicta
חצי יהונתן.txt,אוצריא/תנך/דרשות ודרושים/חצי יהונתן.txt,Dicta
עמק יהושע חלק ב.txt,אוצריא/תנך/דרשות ודרושים/עמק יהושע חלק ב.txt,Dicta
קשת יהונתן.txt,אוצריא/תנך/דרשות ודרושים/קשת יהונתן.txt,Dicta
דבש תמר - ב (פירוש המשניות להרמבם).txt,אוצריא/משנה/אחרונים/דבש תמר - ב (פירוש המשניות להרמבם).txt,Dicta
אלפא ביתא.txt,אוצריא/ספרי מוסר/אחרונים/אלפא ביתא.txt,Dicta
אגרת התשובה לרבינו יונה.txt,אוצריא/ספרי מוסר/ראשונים/אגרת התשובה לרבינו יונה.txt,Dicta
תשובות הגאונים – מוסאפיה.txt,אוצריא/שות/גאונים/תשובות הגאונים – מוסאפיה.txt,Dicta
שות שבט סופר חלק א.txt,אוצריא/שות/אחרונים/שות שבט סופר חלק א.txt,Dicta
גנת ביתן.txt,אוצריא/שות/אחרונים/גנת ביתן.txt,Dicta
שות ישועות יעקב.txt,אוצריא/שות/אחרונים/שות ישועות יעקב.txt,Dicta
בנין שלמה חלק א.txt,אוצריא/שות/אחרונים/בנין שלמה חלק א.txt,Dicta
יש מאין חלק א.txt,אוצריא/שות/אחרונים/יש מאין חלק א.txt,Dicta
אמרי אש חלק חושן משפט.txt,אוצריא/שות/אחרונים/אמרי אש חלק חושן משפט.txt,Dicta
שות מר ואהלות.txt,אוצריא/שות/אחרונים/שות מר ואהלות.txt,Dicta
מנחת ברוך יורה דעה.txt,אוצריא/שות/אחרונים/מנחת ברוך יורה דעה.txt,Dicta
שות אבני חפץ.txt,אוצריא/שות/אחרונים/שות אבני חפץ.txt,Dicta
השיב משה חושן משפט.txt,אוצריא/שות/אחרונים/השיב משה חושן משפט.txt,Dicta
דרכי שלום.txt,אוצריא/שות/אחרונים/דרכי שלום.txt,Dicta
אחיעזר חלק א אבן העזר.txt,אוצריא/שות/אחרונים/אחיעזר חלק א אבן העזר.txt,Dicta
מצות כהונה.txt,אוצריא/שות/אחרונים/מצות כהונה.txt,Dicta
אמונת שמואל.txt,אוצריא/שות/אחרונים/אמונת שמואל.txt,Dicta
ויקרא אברהם.txt,אוצריא/שות/אחרונים/ויקרא אברהם.txt,Dicta
וידבר דוד.txt,אוצריא/שות/אחרונים/וידבר דוד.txt,Dicta
נחלת יהושע.txt,אוצריא/שות/אחרונים/נחלת יהושע.txt,Dicta
אבני שיש חלק א.txt,אוצריא/שות/אחרונים/אבני שיש חלק א.txt,Dicta
שות פרחי כהונה.txt,אוצריא/שות/אחרונים/שות פרחי כהונה.txt,Dicta
השיב משה יורה דעה.txt,אוצריא/שות/אחרונים/השיב משה יורה דעה.txt,Dicta
פי אריה.txt,אוצריא/שות/אחרונים/פי אריה.txt,Dicta
ארץ צבי (פרומר) א.txt,אוצריא/שות/אחרונים/ארץ צבי (פרומר) א.txt,Dicta
שות איתן האזרחי.txt,אוצריא/שות/אחרונים/שות איתן האזרחי.txt,Dicta
אמרי אש חלק אבן העזר.txt,אוצריא/שות/אחרונים/אמרי אש חלק אבן העזר.txt,Dicta
כפי אהרן חלק א.txt,אוצריא/שות/אחרונים/כפי אהרן חלק א.txt,Dicta
