displayName,categoryEnglish,printYear,ocrFeDir,printLocationEnglish,textFileURL,category,source,author,printLocation,underwentBerelUnflagging,nikudMetegFileURL,OCRDataURL,authorEnglish,fileName,displayNameEnglish
אור הישר (טהרות),Commentaries on Mishnah,1944,ohrhayashartahorot,Jerusalem,https://files.dicta.org.il/ohrhayashartahorot/ohrhayashartahorot__text_files.zip,מפרשים וחיבורים על המשנה,ספריית דיקטה,ר' שמואל יצחק הילמן,ירושלים,,https://files.dicta.org.il/ohrhayashartahorot/ohrhayashartahorot__nikud_meteg_files.zip,https://files.dicta.org.il/ohrhayashartahorot/ohrhayashartahorot__ocr_data_html_files.zip,Shmuel Yitzchak Hillman,ohrhayashartahorot,Ohr Hayashar Tahorot
אור הישר (ירושלמי),Yerushalmi Commentaries,1948,ohrhayasharyerushalmi,Jerusalem,https://files.dicta.org.il/ohrhayasharyerushalmi/ohrhayasharyerushalmi__text_files.zip,מפרשים וחיבורים על הירושלמי,ספריית דיקטה,ר' שמואל יצחק הילמן,ירושלים,,https://files.dicta.org.il/ohrhayasharyerushalmi/ohrhayasharyerushalmi__nikud_meteg_files.zip,https://files.dicta.org.il/ohrhayasharyerushalmi/ohrhayasharyerushalmi__ocr_data_html_files.zip,Shmuel Yitzchak Hillman,ohrhayasharyerushalmi,Ohr Hayashar yerushalmi
אור הישר (נזיקין א),Acharonim on Talmud Bavli,1942,ohrhayasharnezikin1,Jerusalem,https://files.dicta.org.il/ohrhayasharnezikin1/ohrhayasharnezikin1__text_files.zip,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,ר' שמואל יצחק הילמן,ירושלים,,https://files.dicta.org.il/ohrhayasharnezikin1/ohrhayasharnezikin1__nikud_meteg_files.zip,https://files.dicta.org.il/ohrhayasharnezikin1/ohrhayasharnezikin1__ocr_data_html_files.zip,Shmuel Yitzchak Hillman,ohrhayasharnezikin1,Ohr Hayashar Nezikin part 1
אור הישר (נזיקין ב),Acharonim on Talmud Bavli,1943,ohrhayasharnezikin2,Jerusalem,https://files.dicta.org.il/ohrhayasharnezikin2/ohrhayasharnezikin2__text_files.zip,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,ר' שמואל יצחק הילמן,ירושלים,,https://files.dicta.org.il/ohrhayasharnezikin2/ohrhayasharnezikin2__nikud_meteg_files.zip,https://files.dicta.org.il/ohrhayasharnezikin2/ohrhayasharnezikin2__ocr_data_html_files.zip,Shmuel Yitzchak Hillman,ohrhayasharnezikin2,Ohr Hayashar Nezikin part 2
אור הישר (נשים א),Acharonim on Talmud Bavli,1944,ohrhayasharnashim1,Jerusalem,https://files.dicta.org.il/ohrhayasharnashim1/ohrhayasharnashim1__text_files.zip,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,ר' שמואל יצחק הילמן,ירושלים,,https://files.dicta.org.il/ohrhayasharnashim1/ohrhayasharnashim1__nikud_meteg_files.zip,https://files.dicta.org.il/ohrhayasharnashim1/ohrhayasharnashim1__ocr_data_html_files.zip,Shmuel Yitzchak Hillman,ohrhayasharnashim1,Ohr Hayashar Nashim 1
אור הישר (נשים ב),Acharonim on Talmud Bavli,1944,ohrhayasharnashim2,Jerusalem,https://files.dicta.org.il/ohrhayasharnashim2/ohrhayasharnashim2__text_files.zip,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,ר' שמואל יצחק הילמן,ירושלים,,https://files.dicta.org.il/ohrhayasharnashim2/ohrhayasharnashim2__nikud_meteg_files.zip,https://files.dicta.org.il/ohrhayasharnashim2/ohrhayasharnashim2__ocr_data_html_files.zip,Shmuel Yitzchak Hillman,ohrhayasharnashim2,Ohr Hayashar Nashim 2
"אור הישר (תנ""ך)",Bible Commentaries,1945,ohrhayashartanach,Jerusalem,https://files.dicta.org.il/ohrhayashartanach/ohrhayashartanach__text_files.zip,"מפרשים וחיבורים על התנ""ך",ספריית דיקטה,ר' שמואל יצחק הילמן,ירושלים,,https://files.dicta.org.il/ohrhayashartanach/ohrhayashartanach__nikud_meteg_files.zip,https://files.dicta.org.il/ohrhayashartanach/ohrhayashartanach__ocr_data_html_files.zip,Shmuel Yitzchak Hillman,ohrhayashartanach,Ohr Hayashar tanach
אור המאיר,Responsa,1926,orhameirresponsa,Piotrkov,https://files.dicta.org.il/orhameirresponsa/orhameirresponsa__text_files.zip,"שו""ת",ספריית דיקטה,הרב יהודה מאיר שפירא,פיוטרקוב,,https://files.dicta.org.il/orhameirresponsa/orhameirresponsa__nikud_meteg_files.zip,https://files.dicta.org.il/orhameirresponsa/orhameirresponsa__ocr_data_html_files.zip,Yehuda Meir Shapiro,orhameirresponsa,Or Hameir responsa
אור המאיר דברים,Sifrei Chasidut,1883,orhameirdvarim_EGT,Warsaw,https://files.dicta.org.il/orhameirdvarim/orhameirdvarim__text_files.zip,ספרי חסידות,ספריית דיקטה,ר' זאב וולף הלוי,ווארשא,,https://files.dicta.org.il/orhameirdvarim/orhameirdvarim__nikud_meteg_files.zip,https://files.dicta.org.il/orhameirdvarim/orhameirdvarim__ocr_data_html_files.zip,"Halevi, Zev Wolf",orhameirdvarim,Or ha-Meir Dvarim
אור המאיר ויקרא,Sifrei Chasidut,1883,orhameirvayikra_EGT,Warsaw,https://files.dicta.org.il/orhameirvayikra/orhameirvayikra__text_files.zip,ספרי חסידות,ספריית דיקטה,ר' זאב וולף הלוי,ווארשא,,https://files.dicta.org.il/orhameirvayikra/orhameirvayikra__nikud_meteg_files.zip,https://files.dicta.org.il/orhameirvayikra/orhameirvayikra__ocr_data_html_files.zip,"Halevi, Zev Wolf",orhameirvayikra,Or ha-Meir Vayikra
