שם ספר,דור,קטגוריה,נתיב הספר,,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות ציצית",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר אהבה\אבן האזל על משנה תורה, הלכות ציצית.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות קרבן פסח",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר קורבנות\אבן האזל על משנה תורה, הלכות קרבן פסח.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות קריאת שמע",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר אהבה\אבן האזל על משנה תורה, הלכות קריאת שמע.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות רוצח ושמירת נפש",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר נזיקין\אבן האזל על משנה תורה, הלכות רוצח ושמירת נפש.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות שאלה ופיקדון",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר משפטים\אבן האזל על משנה תורה, הלכות שאלה ופיקדון.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות שביתת יום טוב",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר זמנים\אבן האזל על משנה תורה, הלכות שביתת יום טוב.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות שבת",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר זמנים\אבן האזל על משנה תורה, הלכות שבת.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות שגגות",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר קורבנות\אבן האזל על משנה תורה, הלכות שגגות.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות שופר וסוכה ולולב",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר זמנים\אבן האזל על משנה תורה, הלכות שופר וסוכה ולולב.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות שחיטה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר קדושה\אבן האזל על משנה תורה, הלכות שחיטה.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות שכירות",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר משפטים\אבן האזל על משנה תורה, הלכות שכירות.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות שכנים",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר קניין\אבן האזל על משנה תורה, הלכות שכנים.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות שלוחין ושותפין",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר קניין\אבן האזל על משנה תורה, הלכות שלוחין ושותפין.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות שקלים",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר זמנים\אבן האזל על משנה תורה, הלכות שקלים.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות תמורה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר קורבנות\אבן האזל על משנה תורה, הלכות תמורה.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות תמידים ומוספין",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר עבודה\אבן האזל על משנה תורה, הלכות תמידים ומוספין.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות תעניות",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר זמנים\אבן האזל על משנה תורה, הלכות תעניות.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות תפילה וברכת כהנים",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר אהבה\אבן האזל על משנה תורה, הלכות תפילה וברכת כהנים.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות תפילין ומזוזה וספר תורה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר אהבה\אבן האזל על משנה תורה, הלכות תפילין ומזוזה וספר תורה.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות תרומות",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר זרעים\אבן האזל על משנה תורה, הלכות תרומות.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, מסירת תורה שבעל פה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\הקדמה\אבן האזל על משנה תורה, מסירת תורה שבעל פה.txt",,,,,,,,,,,,,,,,,,,
אבן העוזר על בבא בתרא,אחרונים,תלמוד בבלי,תלמוד בבלי\אחרונים\אבן העוזר\אבן העוזר על בבא בתרא.txt,,,,,,,,,,,,,,,,,,,
אבן העוזר על בבא מציעא,אחרונים,תלמוד בבלי,תלמוד בבלי\אחרונים\אבן העוזר\אבן העוזר על בבא מציעא.txt,,,,,,,,,,,,,,,,,,,
אבן העוזר על בבא קמא,אחרונים,תלמוד בבלי,תלמוד בבלי\אחרונים\אבן העוזר\אבן העוזר על בבא קמא.txt,,,,,,,,,,,,,,,,,,,
אבן העוזר על ביצה,אחרונים,תלמוד בבלי,תלמוד בבלי\אחרונים\אבן העוזר\אבן העוזר על ביצה.txt,,,,,,,,,,,,,,,,,,,
אבן העוזר על ברכות,אחרונים,תלמוד בבלי,תלמוד בבלי\אחרונים\אבן העוזר\אבן העוזר על ברכות.txt,,,,,,,,,,,,,,,,,,,
אבן העוזר על גיטין,אחרונים,תלמוד בבלי,תלמוד בבלי\אחרונים\אבן העוזר\אבן העוזר על גיטין.txt,,,,,,,,,,,,,,,,,,,
אבן העוזר על הוריות,אחרונים,תלמוד בבלי,תלמוד בבלי\אחרונים\אבן העוזר\אבן העוזר על הוריות.txt,,,,,,,,,,,,,,,,,,,
אבן העוזר על זבים,אחרונים,תלמוד בבלי,תלמוד בבלי\אחרונים\אבן העוזר\אבן העוזר על זבים.txt,,,,,,,,,,,,,,,,,,,
אבן העוזר על מגילה,אחרונים,תלמוד בבלי,תלמוד בבלי\אחרונים\אבן העוזר\אבן העוזר על מגילה.txt,,,,,,,,,,,,,,,,,,,
אבן העוזר על סוכה,אחרונים,תלמוד בבלי,תלמוד בבלי\אחרונים\אבן העוזר\אבן העוזר על סוכה.txt,,,,,,,,,,,,,,,,,,,
אבן העוזר על עבודה זרה,אחרונים,תלמוד בבלי,תלמוד בבלי\אחרונים\אבן העוזר\אבן העוזר על עבודה זרה.txt,,,,,,,,,,,,,,,,,,,
אבן העוזר על עירובין,אחרונים,תלמוד בבלי,תלמוד בבלי\אחרונים\אבן העוזר\אבן העוזר על עירובין.txt,,,,,,,,,,,,,,,,,,,
אבן העוזר על פסחים,אחרונים,תלמוד בבלי,תלמוד בבלי\אחרונים\אבן העוזר\אבן העוזר על פסחים.txt,,,,,,,,,,,,,,,,,,,
אבן העוזר על קידושין,אחרונים,תלמוד בבלי,תלמוד בבלי\אחרונים\אבן העוזר\אבן העוזר על קידושין.txt,,,,,,,,,,,,,,,,,,,
אבן העוזר על ראש השנה,אחרונים,תלמוד בבלי,תלמוד בבלי\אחרונים\אבן העוזר\אבן העוזר על ראש השנה.txt,,,,,,,,,,,,,,,,,,,
אבן העוזר על שבועות,אחרונים,תלמוד בבלי,תלמוד בבלי\אחרונים\אבן העוזר\אבן העוזר על שבועות.txt,,,,,,,,,,,,,,,,,,,
